"breedtegraad,""lengtegraad"",""CO2"",""CH4"",""NO2"",""NH3"""
0,98,142.37,2.01,57.51,0.03
0,99,196.75,3.6,54.12,0.02
1,0,850.32,12.65,207.52,0.1
1,1,1354.73,20.51,576.73,0.26
1,2,1354.73,20.51,576.73,0.26
1,3,1354.73,20.51,576.73,0.26
1,4,850.32,12.65,207.52,0.1
1,5,133.12,3.32,56.3,0.04
1,6,133.54,2.25,40.98,0.02
1,7,146.05,3.94,36.58,0.02
1,8,158.89,2.13,38.88,0.03
1,9,160.22,3.44,31.35,0.04
1,10,134.66,3.54,44.12,0.03
1,11,114.98,2.77,31.7,0.04
1,12,179.78,2.24,52.22,0.02
1,13,155.78,3.93,44.54,0.02
1,14,168.57,3.7,47.31,0.02
1,15,156.51,2.37,53.62,0.03
1,16,153.84,3.95,34.11,0.04
1,17,186.46,2.1,33.55,0.03
1,18,190.93,2.5,42.2,0.04
1,19,164.02,3.02,35.59,0.03
1,20,177.6,3.71,34.15,0.03
1,21,137.21,3.26,44.61,0.04
1,22,182.09,2.09,45.54,0.03
1,23,104.09,2.42,55.26,0.03
1,24,138.51,3.0,32.82,0.04
1,25,161.05,3.15,41.22,0.03
1,26,108.74,2.4,53.36,0.04
1,27,127.25,2.63,44.29,0.02
1,28,149.59,2.33,44.12,0.02
1,29,111.99,4.0,36.15,0.03
1,30,169.05,3.43,58.08,0.03
1,31,185.81,3.66,36.29,0.02
1,32,185.46,2.27,44.8,0.02
1,33,169.02,2.75,30.31,0.02
1,34,177.0,2.0,32.47,0.03
1,35,166.46,2.15,44.43,0.03
1,36,106.53,2.21,58.98,0.02
1,37,118.93,2.36,54.63,0.02
1,38,183.01,2.01,31.72,0.04
1,39,171.91,3.64,53.74,0.04
1,40,141.02,3.45,34.3,0.03
1,41,195.65,2.55,49.44,0.03
1,42,183.9,2.27,55.59,0.03
1,43,101.35,3.3,33.56,0.02
1,44,140.81,3.71,51.5,0.02
1,45,193.74,3.87,47.07,0.04
1,46,194.05,3.99,58.74,0.04
1,47,129.46,2.75,36.12,0.04
1,48,158.14,3.52,51.2,0.03
1,49,178.74,2.5,46.75,0.03
1,50,111.62,3.5,37.49,0.04
1,51,180.7,2.38,58.86,0.02
1,52,174.3,2.98,58.87,0.02
1,53,123.31,2.51,36.41,0.04
1,54,112.9,3.35,31.78,0.02
1,55,170.62,2.25,52.87,0.03
1,56,112.38,3.83,34.34,0.02
1,57,168.2,3.2,59.78,0.02
1,58,177.44,3.87,53.58,0.04
1,59,189.12,2.41,55.63,0.03
1,60,138.73,2.63,42.87,0.03
1,61,161.32,3.55,59.72,0.03
1,62,187.14,3.07,52.79,0.04
1,63,198.01,2.38,40.39,0.03
1,64,142.62,2.67,30.3,0.02
1,65,197.07,3.91,35.66,0.03
1,66,159.41,3.95,53.46,0.02
1,67,162.97,3.14,59.35,0.02
1,68,188.36,2.64,30.64,0.03
1,69,182.35,2.22,32.69,0.03
1,70,178.12,3.47,49.51,0.03
1,71,159.05,3.43,40.72,0.03
1,72,113.94,2.08,49.6,0.04
1,73,171.47,3.45,40.53,0.03
1,74,160.09,3.24,30.01,0.02
1,75,122.48,2.33,55.85,0.04
1,76,162.93,3.15,35.47,0.04
1,77,183.34,3.06,33.09,0.03
1,78,148.02,3.34,34.66,0.03
1,79,144.96,3.87,38.63,0.03
1,80,141.7,3.24,48.5,0.04
1,81,118.22,2.14,35.24,0.03
1,82,137.74,3.9,32.58,0.02
1,83,186.79,2.28,40.84,0.03
1,84,104.71,2.63,44.68,0.03
1,85,186.65,3.9,38.97,0.02
1,86,170.94,3.97,31.93,0.02
1,87,137.49,3.84,43.08,0.03
1,88,128.84,3.49,32.49,0.02
1,89,159.27,3.79,43.73,0.02
1,90,109.42,2.63,56.87,0.04
1,91,191.03,2.44,48.5,0.04
1,92,133.91,2.28,57.15,0.04
1,93,176.36,3.39,34.16,0.03
1,94,124.27,3.49,31.61,0.03
1,95,124.77,2.23,52.04,0.03
1,96,193.17,3.6,57.23,0.03
1,97,118.55,2.61,34.9,0.04
1,98,107.8,2.26,30.44,0.04
1,99,190.85,2.37,30.27,0.03
2,0,850.32,12.65,207.52,0.1
2,1,1354.73,20.51,576.73,0.26
2,2,3503.53,54.4,774.28,0.51
2,3,1354.73,20.51,576.73,0.26
2,4,850.32,12.65,207.52,0.1
2,5,167.6,3.64,52.96,0.03
2,6,178.75,2.89,50.21,0.04
2,7,133.98,3.26,50.87,0.02
2,8,176.28,3.54,46.93,0.04
2,9,188.93,3.15,53.99,0.02
2,10,154.43,3.85,59.48,0.02
2,11,156.51,3.45,31.2,0.02
2,12,134.98,2.7,47.88,0.04
2,13,179.24,3.98,42.76,0.03
2,14,134.2,2.2,34.64,0.02
2,15,134.73,3.66,31.6,0.03
2,16,166.52,2.57,46.83,0.03
2,17,145.03,3.17,58.74,0.03
2,18,152.95,3.64,43.02,0.02
2,19,162.43,2.74,51.1,0.03
2,20,121.77,2.64,53.44,0.02
2,21,191.85,3.6,57.32,0.03
2,22,196.42,3.84,42.91,0.04
2,23,103.92,3.92,39.51,0.04
2,24,191.18,3.6,40.5,0.03
2,25,138.81,2.49,59.97,0.04
2,26,124.87,2.58,30.05,0.03
2,27,104.93,3.96,41.45,0.02
2,28,140.79,3.57,37.74,0.02
2,29,158.82,3.03,56.31,0.02
2,30,155.88,3.85,35.96,0.03
2,31,100.85,2.25,39.71,0.03
2,32,188.43,3.62,41.14,0.02
2,33,133.49,2.38,33.3,0.03
2,34,137.11,3.59,35.7,0.03
2,35,122.63,2.79,37.49,0.04
2,36,101.81,2.87,54.77,0.02
2,37,106.48,3.04,44.26,0.03
2,38,127.8,2.45,34.73,0.03
2,39,181.72,3.71,32.98,0.04
2,40,110.35,2.36,41.21,0.03
2,41,109.19,3.06,42.97,0.03
2,42,177.49,2.8,57.8,0.03
2,43,152.14,2.8,57.26,0.03
2,44,151.24,3.58,57.96,0.04
2,45,177.73,2.26,40.2,0.03
2,46,154.71,2.01,33.67,0.03
2,47,160.27,2.06,46.7,0.02
2,48,172.44,3.11,43.58,0.04
2,49,111.09,2.44,58.65,0.04
2,50,175.79,2.47,44.16,0.04
2,51,149.3,2.95,56.98,0.02
2,52,104.24,3.97,40.55,0.02
2,53,150.68,3.17,35.38,0.03
2,54,109.89,3.21,45.13,0.03
2,55,119.44,2.51,44.16,0.02
2,56,135.99,2.4,58.65,0.03
2,57,149.99,2.99,31.37,0.03
2,58,145.39,3.47,37.33,0.02
2,59,199.63,3.96,43.6,0.04
2,60,138.65,3.94,36.32,0.03
2,61,116.26,2.51,30.04,0.03
2,62,189.27,3.81,57.12,0.03
2,63,102.27,2.92,45.14,0.03
2,64,192.45,2.97,30.21,0.03
2,65,167.91,3.57,55.51,0.04
2,66,157.59,2.7,58.49,0.04
2,67,112.18,3.77,50.57,0.03
2,68,124.9,3.95,31.22,0.03
2,69,195.57,2.24,42.88,0.03
2,70,182.36,3.76,50.61,0.03
2,71,101.45,2.34,57.61,0.04
2,72,128.19,3.34,47.03,0.03
2,73,133.24,2.51,45.96,0.04
2,74,180.41,3.11,42.31,0.04
2,75,109.14,2.79,38.08,0.02
2,76,157.26,2.33,54.0,0.03
2,77,104.0,2.85,55.04,0.03
2,78,130.36,2.64,34.65,0.02
2,79,188.61,2.14,46.88,0.02
2,80,107.7,2.78,49.76,0.02
2,81,179.27,3.05,45.29,0.02
2,82,114.62,3.58,54.42,0.03
2,83,110.13,3.37,33.59,0.04
2,84,137.06,2.28,45.65,0.03
2,85,146.38,2.1,31.16,0.02
2,86,153.08,3.86,56.7,0.02
2,87,147.53,3.11,59.04,0.03
2,88,151.69,3.92,39.98,0.02
2,89,181.21,3.5,50.29,0.03
2,90,195.08,3.81,42.18,0.03
2,91,180.65,2.66,58.32,0.03
2,92,104.08,2.17,40.79,0.04
2,93,143.53,2.61,32.93,0.03
2,94,175.32,3.46,38.19,0.02
2,95,198.88,2.96,49.08,0.03
2,96,116.71,2.98,46.93,0.02
2,97,146.28,2.82,50.76,0.03
2,98,198.02,2.16,49.28,0.02
2,99,165.54,3.07,59.55,0.02
3,0,850.32,12.65,207.52,0.1
3,1,1354.73,20.51,576.73,0.26
3,2,1354.73,20.51,576.73,0.26
3,3,1354.73,20.51,576.73,0.26
3,4,850.32,12.65,207.52,0.1
3,5,147.3,2.42,51.67,0.02
3,6,142.95,2.89,34.43,0.04
3,7,123.2,2.28,50.36,0.03
3,8,112.76,2.96,48.03,0.03
3,9,108.12,3.13,53.32,0.04
3,10,114.02,3.44,51.92,0.03
3,11,142.36,3.79,42.98,0.02
3,12,192.94,3.23,57.04,0.02
3,13,148.68,3.73,47.49,0.03
3,14,134.88,2.16,33.62,0.04
3,15,145.21,3.17,50.41,0.03
3,16,129.87,2.32,30.13,0.03
3,17,127.03,3.09,32.62,0.02
3,18,124.61,3.3,43.05,0.03
3,19,183.35,2.9,32.42,0.04
3,20,163.69,2.29,50.61,0.03
3,21,157.0,2.56,44.09,0.03
3,22,175.53,3.05,56.37,0.03
3,23,178.71,3.71,31.83,0.04
3,24,114.75,3.14,54.69,0.03
3,25,155.18,3.69,35.72,0.03
3,26,185.6,2.82,49.21,0.04
3,27,106.25,2.31,57.72,0.02
3,28,181.68,2.49,48.98,0.04
3,29,150.9,3.58,37.84,0.04
3,30,147.49,3.59,31.82,0.04
3,31,165.76,3.18,36.4,0.02
3,32,149.71,2.14,58.49,0.04
3,33,125.4,3.8,33.72,0.03
3,34,125.97,3.6,31.57,0.02
3,35,146.19,2.16,39.06,0.02
3,36,120.0,3.63,57.68,0.03
3,37,181.96,2.45,30.34,0.02
3,38,164.48,2.49,37.19,0.03
3,39,108.53,3.22,52.01,0.02
3,40,188.99,2.06,49.69,0.03
3,41,181.9,3.73,49.21,0.02
3,42,133.47,2.81,35.97,0.04
3,43,127.71,2.99,33.67,0.02
3,44,177.06,2.89,57.71,0.02
3,45,122.5,2.44,55.11,0.04
3,46,190.63,3.18,53.73,0.02
3,47,150.38,2.87,37.02,0.03
3,48,123.42,2.26,46.0,0.03
3,49,188.74,3.96,34.79,0.03
3,50,172.93,3.34,30.54,0.02
3,51,110.3,2.13,59.97,0.03
3,52,191.98,2.35,57.29,0.03
3,53,135.88,2.97,48.75,0.03
3,54,159.31,2.18,42.25,0.02
3,55,118.21,3.71,48.93,0.03
3,56,197.66,2.84,36.45,0.04
3,57,169.2,3.31,50.34,0.03
3,58,126.79,3.58,41.32,0.02
3,59,158.57,3.85,56.82,0.04
3,60,133.48,3.44,52.78,0.03
3,61,157.28,3.05,36.7,0.03
3,62,164.09,3.54,33.38,0.02
3,63,134.63,3.36,37.61,0.03
3,64,125.12,2.16,56.47,0.02
3,65,121.24,2.44,35.1,0.03
3,66,138.56,2.86,42.93,0.04
3,67,103.34,2.82,32.36,0.03
3,68,136.78,2.64,41.33,0.04
3,69,174.53,2.24,59.62,0.03
3,70,194.72,3.26,50.55,0.02
3,71,145.11,2.06,42.32,0.02
3,72,134.15,3.48,50.77,0.03
3,73,183.07,2.47,59.44,0.03
3,74,168.75,3.25,42.31,0.03
3,75,141.91,3.34,53.92,0.02
3,76,155.41,2.27,39.43,0.03
3,77,176.19,3.5,34.48,0.03
3,78,102.11,2.22,37.22,0.02
3,79,138.09,3.07,42.96,0.04
3,80,109.69,2.71,31.05,0.02
3,81,100.56,3.9,54.21,0.03
3,82,142.08,3.61,43.61,0.02
3,83,138.35,2.85,49.79,0.02
3,84,180.07,3.33,39.03,0.03
3,85,110.22,2.69,53.26,0.02
3,86,117.24,2.65,34.86,0.04
3,87,174.03,3.41,40.76,0.03
3,88,108.87,2.19,56.49,0.02
3,89,162.39,3.57,43.93,0.03
3,90,101.11,2.06,55.84,0.03
3,91,132.01,3.81,44.18,0.02
3,92,115.59,3.81,46.64,0.03
3,93,186.63,2.63,38.79,0.02
3,94,128.37,2.98,30.65,0.03
3,95,168.58,3.86,45.82,0.03
3,96,114.98,2.33,39.6,0.03
3,97,135.64,2.8,50.31,0.02
3,98,153.11,2.56,43.17,0.02
3,99,163.93,2.81,44.78,0.04
4,0,850.32,12.65,207.52,0.1
4,1,850.32,12.65,207.52,0.1
4,2,850.32,12.65,207.52,0.1
4,3,850.32,12.65,207.52,0.1
4,4,850.32,12.65,207.52,0.1
4,5,115.54,3.55,46.82,0.02
4,6,121.77,3.16,35.44,0.03
4,7,160.09,3.99,41.47,0.02
4,8,136.08,3.94,48.22,0.03
4,9,196.55,2.76,52.97,0.04
4,10,111.65,2.11,52.26,0.03
4,11,163.2,2.66,39.27,0.04
4,12,163.89,3.96,30.28,0.02
4,13,195.63,3.63,31.38,0.04
4,14,151.98,3.22,43.6,0.03
4,15,103.96,2.04,51.4,0.04
4,16,137.45,2.89,45.03,0.04
4,17,113.21,3.37,56.16,0.02
4,18,114.18,3.19,54.94,0.03
4,19,197.08,2.73,56.81,0.04
4,20,173.33,2.94,47.64,0.02
4,21,154.23,2.19,55.93,0.03
4,22,182.29,3.08,42.93,0.03
4,23,136.64,2.24,54.55,0.02
4,24,188.28,3.43,39.9,0.02
4,25,170.95,3.75,54.63,0.04
4,26,136.38,3.74,50.36,0.03
4,27,186.18,2.47,39.96,0.03
4,28,199.81,2.88,37.46,0.03
4,29,191.63,2.96,33.26,0.03
4,30,144.77,2.96,58.75,0.03
4,31,167.06,3.6,44.3,0.04
4,32,176.39,3.83,48.81,0.02
4,33,111.0,3.16,40.69,0.03
4,34,106.99,3.26,44.89,0.04
4,35,184.99,3.81,40.4,0.03
4,36,134.77,3.65,53.0,0.04
4,37,164.53,3.58,56.55,0.03
4,38,185.97,2.88,59.27,0.02
4,39,187.24,2.0,56.87,0.02
4,40,111.45,3.86,49.7,0.02
4,41,115.52,2.84,54.17,0.02
4,42,124.54,2.79,44.8,0.04
4,43,123.19,2.62,55.52,0.03
4,44,139.67,2.8,40.9,0.04
4,45,146.57,2.94,43.6,0.03
4,46,151.4,3.68,30.05,0.02
4,47,106.22,2.34,57.88,0.02
4,48,180.51,2.58,44.72,0.03
4,49,194.02,2.73,30.19,0.04
4,50,198.99,2.29,42.94,0.03
4,51,196.94,3.98,36.48,0.02
4,52,133.38,2.26,58.31,0.03
4,53,130.7,3.5,40.26,0.03
4,54,145.09,2.72,34.32,0.04
4,55,103.75,3.14,30.07,0.02
4,56,136.6,2.41,57.39,0.03
4,57,175.09,2.34,49.03,0.02
4,58,145.02,3.52,33.58,0.03
4,59,158.75,2.95,33.83,0.03
4,60,156.01,2.18,52.81,0.04
4,61,190.49,2.7,51.31,0.02
4,62,193.85,2.75,53.52,0.04
4,63,152.77,2.73,44.86,0.03
4,64,181.34,3.41,58.36,0.04
4,65,129.67,3.17,46.39,0.03
4,66,199.51,3.02,55.52,0.02
4,67,183.19,3.31,31.09,0.02
4,68,138.2,3.87,33.24,0.03
4,69,143.94,3.08,36.71,0.02
4,70,122.05,2.17,30.91,0.03
4,71,179.72,3.7,48.0,0.03
4,72,191.7,3.81,35.72,0.03
4,73,198.6,2.95,34.06,0.03
4,74,158.35,2.19,30.43,0.03
4,75,193.1,2.66,55.47,0.02
4,76,182.02,3.57,52.51,0.04
4,77,193.63,2.92,47.45,0.03
4,78,140.01,2.62,34.46,0.03
4,79,189.99,3.91,30.94,0.03
4,80,165.89,2.26,32.29,0.03
4,81,106.73,2.88,58.68,0.04
4,82,117.04,2.44,35.8,0.03
4,83,141.41,3.36,57.12,0.04
4,84,161.79,3.11,34.64,0.03
4,85,159.32,2.09,41.85,0.04
4,86,139.05,3.96,38.34,0.02
4,87,114.98,3.53,41.56,0.03
4,88,126.81,3.14,55.16,0.03
4,89,172.13,2.98,43.23,0.02
4,90,159.7,3.66,38.38,0.04
4,91,189.94,2.51,37.36,0.03
4,92,154.74,3.04,49.95,0.04
4,93,158.3,3.78,51.48,0.03
4,94,116.01,3.42,44.26,0.03
4,95,129.33,3.57,47.44,0.03
4,96,186.76,2.22,42.32,0.02
4,97,100.68,2.65,45.16,0.03
4,98,155.62,2.7,46.49,0.03
4,99,154.87,2.97,33.91,0.03
5,0,180.02,2.47,36.68,0.03
5,1,103.41,2.83,59.26,0.04
5,2,126.74,3.94,32.49,0.03
5,3,106.55,2.46,34.15,0.02
5,4,176.29,2.17,41.42,0.04
5,5,132.83,2.85,54.56,0.02
5,6,144.16,2.82,36.1,0.03
5,7,187.09,2.52,36.89,0.04
5,8,126.13,3.28,39.83,0.04
5,9,174.56,2.84,43.16,0.04
5,10,174.72,3.6,37.65,0.03
5,11,147.06,2.63,46.41,0.04
5,12,182.24,3.24,35.6,0.03
5,13,119.36,3.64,32.05,0.03
5,14,157.97,3.15,34.55,0.03
5,15,131.21,3.21,56.27,0.04
5,16,114.97,2.67,32.92,0.02
5,17,198.97,3.74,45.87,0.03
5,18,153.79,2.57,49.04,0.03
5,19,110.98,2.87,31.9,0.03
5,20,109.52,3.39,54.8,0.02
5,21,147.99,2.65,43.77,0.03
5,22,156.83,2.39,58.96,0.04
5,23,105.84,2.71,45.38,0.04
5,24,100.08,3.49,43.73,0.04
5,25,109.16,2.16,42.02,0.02
5,26,108.06,3.6,33.31,0.03
5,27,122.42,2.09,59.52,0.04
5,28,101.19,2.44,41.71,0.02
5,29,160.23,3.0,38.08,0.04
5,30,120.98,2.29,35.37,0.04
5,31,137.9,2.45,47.71,0.02
5,32,184.46,3.92,56.26,0.03
5,33,189.12,3.7,35.03,0.04
5,34,128.37,2.84,53.48,0.02
5,35,171.99,2.05,41.19,0.03
5,36,170.04,3.07,56.15,0.04
5,37,131.29,2.14,30.93,0.02
5,38,182.12,3.55,59.31,0.03
5,39,191.07,3.89,46.67,0.02
5,40,118.02,2.68,47.72,0.04
5,41,161.27,3.93,30.98,0.03
5,42,181.53,2.62,37.02,0.03
5,43,182.74,2.27,48.95,0.03
5,44,116.5,2.41,44.66,0.03
5,45,177.42,3.19,47.0,0.02
5,46,195.53,2.73,48.53,0.04
5,47,188.86,2.39,59.91,0.03
5,48,154.61,3.19,41.71,0.03
5,49,194.56,3.23,48.55,0.04
5,50,118.91,2.19,43.54,0.03
5,51,156.65,2.88,36.12,0.02
5,52,193.63,3.18,52.38,0.03
5,53,136.94,2.28,46.92,0.03
5,54,180.42,2.84,58.9,0.03
5,55,189.37,3.95,33.13,0.02
5,56,181.75,2.81,54.23,0.03
5,57,143.17,2.9,54.46,0.02
5,58,127.36,2.16,57.43,0.04
5,59,146.85,2.79,48.41,0.02
5,60,114.13,3.59,49.6,0.03
5,61,122.7,3.9,34.94,0.03
5,62,106.5,3.43,35.7,0.03
5,63,167.81,2.62,58.37,0.04
5,64,106.52,3.73,36.46,0.02
5,65,111.82,3.97,39.58,0.03
5,66,116.85,2.5,48.95,0.02
5,67,184.13,2.86,43.75,0.04
5,68,121.1,3.55,41.13,0.04
5,69,129.23,3.83,43.87,0.04
5,70,167.51,3.0,59.2,0.03
5,71,152.39,2.65,57.78,0.03
5,72,178.97,2.5,35.59,0.04
5,73,164.13,3.81,56.27,0.04
5,74,172.83,3.02,47.66,0.03
5,75,125.55,3.52,46.08,0.03
5,76,147.48,2.7,44.73,0.04
5,77,109.1,2.25,33.32,0.02
5,78,162.99,2.17,46.92,0.03
5,79,141.59,3.51,58.92,0.02
5,80,100.68,2.97,43.67,0.03
5,81,160.74,2.56,36.45,0.03
5,82,139.97,3.45,56.46,0.03
5,83,159.18,2.48,54.13,0.03
5,84,187.52,2.44,54.01,0.02
5,85,194.59,2.06,40.21,0.03
5,86,112.56,2.03,42.55,0.03
5,87,104.92,2.84,55.81,0.03
5,88,131.8,2.86,55.67,0.03
5,89,138.1,3.17,36.08,0.03
5,90,139.06,3.17,39.1,0.03
5,91,104.29,3.92,47.08,0.03
5,92,124.66,2.02,36.42,0.02
5,93,156.91,3.7,35.04,0.03
5,94,133.02,2.29,58.26,0.03
5,95,153.59,3.95,46.74,0.03
5,96,160.53,2.55,38.56,0.03
5,97,161.46,3.01,56.54,0.04
5,98,172.85,2.69,34.42,0.04
5,99,199.46,2.17,39.86,0.04
6,0,108.63,2.73,56.25,0.04
6,1,134.63,2.44,54.25,0.02
6,2,151.72,3.42,32.17,0.03
6,3,109.74,3.06,30.27,0.03
6,4,148.45,3.71,48.08,0.02
6,5,103.61,2.51,40.59,0.03
6,6,141.59,2.69,52.82,0.03
6,7,160.64,3.53,55.75,0.03
6,8,167.48,2.39,53.62,0.04
6,9,187.22,2.08,44.66,0.03
6,10,146.13,2.71,46.06,0.03
6,11,174.44,3.3,41.32,0.03
6,12,174.72,3.3,51.79,0.03
6,13,167.86,2.39,52.42,0.03
6,14,181.54,3.56,39.95,0.03
6,15,193.66,2.36,41.16,0.03
6,16,158.2,2.68,37.28,0.03
6,17,131.28,3.96,52.16,0.03
6,18,162.56,2.14,54.83,0.03
6,19,144.09,3.43,44.83,0.03
6,20,136.03,3.56,40.34,0.03
6,21,172.38,2.96,36.1,0.04
6,22,128.86,2.44,43.75,0.03
6,23,197.76,2.65,39.09,0.04
6,24,139.24,3.16,48.31,0.04
6,25,163.69,2.61,42.86,0.04
6,26,107.64,2.37,52.66,0.03
6,27,133.55,2.07,59.86,0.02
6,28,159.71,3.19,54.13,0.03
6,29,138.05,3.75,48.45,0.04
6,30,125.02,2.01,32.26,0.03
6,31,168.92,3.61,33.53,0.03
6,32,121.57,3.08,44.0,0.02
6,33,162.16,2.71,52.99,0.03
6,34,162.88,3.53,30.16,0.04
6,35,138.36,3.66,46.53,0.03
6,36,170.3,3.83,39.0,0.03
6,37,121.79,3.84,47.0,0.02
6,38,124.08,3.56,54.68,0.02
6,39,136.36,3.15,50.14,0.03
6,40,162.19,2.99,57.46,0.03
6,41,156.2,3.72,35.03,0.03
6,42,181.82,2.73,32.57,0.04
6,43,164.96,2.39,31.3,0.03
6,44,127.6,2.85,51.17,0.02
6,45,131.56,2.9,47.03,0.03
6,46,134.08,3.12,40.37,0.03
6,47,141.47,2.23,55.7,0.02
6,48,145.08,3.01,39.99,0.03
6,49,120.72,3.71,39.05,0.02
6,50,180.45,3.32,55.07,0.04
6,51,125.01,2.24,32.89,0.04
6,52,109.18,2.76,55.6,0.04
6,53,112.22,2.73,38.93,0.03
6,54,170.62,2.92,36.72,0.03
6,55,153.68,3.2,58.09,0.03
6,56,152.6,2.54,42.58,0.03
6,57,161.59,2.16,33.61,0.03
6,58,179.43,2.7,50.05,0.03
6,59,132.81,2.97,47.77,0.03
6,60,188.43,3.8,38.71,0.02
6,61,125.03,3.98,57.13,0.02
6,62,144.35,3.31,47.74,0.04
6,63,159.31,2.69,43.44,0.03
6,64,157.49,3.38,51.94,0.03
6,65,100.09,2.55,47.04,0.03
6,66,130.67,3.41,30.13,0.02
6,67,116.65,2.27,46.71,0.02
6,68,153.53,2.47,42.71,0.03
6,69,186.18,3.93,41.49,0.02
6,70,110.16,3.49,46.19,0.03
6,71,195.29,2.99,41.36,0.03
6,72,120.14,3.11,56.88,0.04
6,73,112.04,3.22,58.37,0.03
6,74,158.61,3.24,42.73,0.03
6,75,181.16,3.0,58.82,0.03
6,76,157.12,2.96,41.09,0.02
6,77,103.41,3.14,34.24,0.03
6,78,132.02,3.0,53.04,0.03
6,79,125.75,3.77,56.32,0.02
6,80,128.06,2.57,57.41,0.02
6,81,135.81,3.32,35.98,0.02
6,82,120.24,2.64,45.02,0.02
6,83,107.64,3.71,47.45,0.03
6,84,152.51,2.02,31.26,0.03
6,85,148.27,3.0,58.15,0.02
6,86,134.66,3.62,40.11,0.03
6,87,154.06,2.16,33.41,0.03
6,88,191.43,3.07,32.34,0.04
6,89,155.57,3.35,35.51,0.03
6,90,145.69,2.56,57.58,0.03
6,91,118.77,3.76,33.39,0.04
6,92,117.52,2.2,53.49,0.04
6,93,187.75,2.1,31.48,0.04
6,94,168.36,3.89,57.12,0.03
